"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"JAMES M. "JIM" BROWN","D","","","","","","WV","RALEIGH CO","","","","DANIELS","","5129","54610005129"
"JAMES M. SMITH","D","","","","","","WV","MINGO CO","","","","KERMIT","","5116","54610005116"
"JAMES R. ATCHISON","R","","","","","","WV","LEWIS CO","","","","WESTON","","5198","54610005198"
"JAMES TURNER","R","","","","","","WV","PENDLETON CO","","","","UPPER TRACT","","5175","54610005175"
"JAMES W. "JIM" MCNEELY","D","","","","","","WV","MONROE CO","","","","PETERSTOWN","","5131","54610005131"
"JASON BARRETT","D","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5257","54610005257"
"JASON MULLINS","D","","","","","","WV","WYOMING CO","","","","MULLENS","","5277","54610005277"
"JAY M. POWELL","D","","","","","","WV","PLEASANTS CO","","","","ST. MARYS","","5187","54610005187"
"JEAN SIMERS","D","","","","","","WV","CALHOUN CO","","","","GRANTSVILLE","","5058","54610005058"
"JEFF BECKER","C1","","","","","","WV","BERKELEY CO","","","","HEDGESVILLE","","5325","54610005325"
"JEFF ELDRIDGE","D","","","","","","WV","LINCOLN CO","","","","ALUM CREEK","","5097","54610005097"
"JEFF MULLINS","R","","","","","","WV","RALEIGH CO","","","","DANIELS","","5026","54610005026"
"JEFFREY FRANK JARRELL","C1","","","","","","WV","WETZEL CO","","","","WILEYVILLE","","5326","54610005326"
"JESSE JOHNSON","M","","","","","","WV","KANAWHA CO","","","","ELKVIEW","","4980","54610004980"
"JILL UPSON","R","","","","","","WV","JEFFERSON CO","","","","CHARLES TOWN","","5264","54610005264"
"JIM BUTLER","R","","","","","","WV","MASON CO","","","","GALLIPOLIS FERRY","","5070","54610005070"
"JIM HARVEY","D","","","","","","WV","MINGO CO","","","","CHATTAROY","","5111","54610005111"
"JIM MARION","D","","","","","","WV","WOOD CO","","","","MINERAL WELLS","","5301","54610005301"
"JIM MORGAN","D","","","","","","WV","CABELL CO","","","","HUNTINGTON","","5076","54610005076"
"JIM WATSON","N","","","","","","WV","RITCHIE CO","","","","HARRISVILLE","","5327","54610005327"
"JOE C. ELLINGTON, JR.","R","","","","","","WV","MERCER CO","","","","PRINCETON","","5124","54610005124"
"JOE SHAFFER","D","","","","","","WV","HARRISON CO","","","","CLARKSBURG","","5209","54610005209"
"JOE STATLER","R","","","","","","WV","MONONGALIA CO","","","","CORE","","5237","54610005237"
"JOEL R. TUTTLE","R","","","","","","WV","MORGAN CO","","","","BERKELEY SPRINGS","","5125","54610005125"
"JOHN "JB" MCCUSKEY","R","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5160","54610005160"
"JOHN D. O'NEAL IV","R","","","","","","WV","RALEIGH CO","","","","BECKLEY","","5132","54610005132"
"JOHN F. STENDER","R","","","","","","WV","TYLER CO","","","","MIDDLEBOURNE","","5259","54610005259"
