"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"BRUSHY FORK COMMUNITY BLDG","649 Brushy Fork Rd","","","Buckhannon","WV","26201","","","","54888181"
"BU MIDDLE SCHOOL"," RR 6 Box 303","","","Buckhannon","WV","26201","","","","54888182"
"BU MIDDLE SCHOOL"," RR 6 Box 303","","","Buckhannon","WV","26201","","","","54888183"
"BU MIDDLE SCHOOL"," RR 6 Box 303","","","Buckhannon","WV","26201","","","","54888184"
"BU MIDDLE SCHOOL"," RR 6 Box 303","","","Buckhannon","WV","26201","","","","54888185"
"BU MIDDLE SCHOOL"," RR 6 Box 303","","","Buckhannon","WV","26201","","","","54888186"
"BUCKHANNON ACADEMY SCHOOL","2 College Ave","","","Buckhannon","WV","26201","","","","54888187"
"BUCKHANNON ACADEMY SCHOOL","2 College Ave","","","Buckhannon","WV","26201","","","","54888188"
"BUCKHANNON ACADEMY SCHOOL","2 College Ave","","","Buckhannon","WV","26201","","","","54888189"
"BUFFALO ELEMENTARY ","331 BUFFALO CREEK RD ","","","KENOVA","WV","25530","","","","54888190"
"BUFFALO ELEMENTARY SCHOOL"," ROUTE 1 BOX 93","","","BUFFALO","WV","25033","","","","54888191"
"BUFFALO ELEMENTARY-N END ","331 BUFFALO CREEK RD ","","","KENOVA","WV","25530","","","","54888192"
"BUFFALO HIGH SCHOOL","3317 BUFFALO ROAD","","","BUFFALO","WV","25033","","","","54888193"
"BUNKER HILL ELEMENTARY SCHOOL","58 HAPPY SCHOOL AVENUE","","","BUNKER HILL","WV","25413","","","","54888194"
"BUNKER HILL UNITED METHODIST CHURCH","9863 WINCHESTER AVENUE","","","BUNKER HILL","WV","25413","","","","54888195"
"Bunners Ridge Fire Department"," RT 6 BOX 339A","","","FAIRMONT","WV","26554","","","","54888196"
"BURKE STREET SCHOOL","422 W BURKE STREET","","","MARTINSBURG","WV","25401","","","","54888197"
"BURLINGTON SCHOOL"," PATTERSON CREEK RD","","","BURLINGTON","WV","","","","","54888198"
"BURNING SPRINGS","","","","","","","","","","54888199"
"BURNSVILLE COMMUNITY CENTER","237A KANAWHA AVE","","","BURNSVILLE","WV","26335","","","","54888200"
"BURNSVILLE MAYORS OFFICE","106 MUNICIPAL ST","","","BURNSVILLE","WV","26335","","","","54888201"
"CABIN CREEK VOL. FIRE DEPT.","","","","","","","","","","54888202"
"CACAPON STATE PARK"," 522 SOUTH","","","BERKELEY SPRINGS","WV","25411","","","","54888203"
"CALCUTTA","2553 Kings Ridge Rd.","","","St. Marys","WV","26170","","","","54888204"
"CALHOUN MIDDLE HIGH SCHOOL","50 UNDERWOOD CIRCLE","","","MOUNT ZION","WV","26151","","","","54888205"
"CALVARY BAPTIST CHURCH"," US RT 119 SOUTH","","","GRAFTON","WV","26354","","","","54888206"
"CALVARY MEMORIAL CHURCH","607 WAYSIDE FARM RD","","","PARKERSBURG","WV","26101","","","","54888207"
"CALVARY METHODIST CHURCH","1601 FIRST STREET","","","MOUNDSVILLE","","26041","","","","54888208"
"CALVARY PENTECOSTAL SCHOOL"," CROSS","","","","","","","","","54888209"
"CALVARY U M CH-FELLOWSHIP HALL","1687 FAIRCHANCE ROAD","","","MORGANTOWN","WV","26508","","","","54888210"
"CAMDEN SENIOR CITIZENS BLDG.","9676 WEBSTER ROAD","","","CAMDEN ON GAULEY","WV","26208","","","","54888211"
"CAMERON GRADE SCHOOL","12 CHURCH ST","","","CAMERON","WV","26033","","","","54888212"
"CAMP HAPPY VALLEY","167 FLETCHER ROAD","","","SCOTT DEPOT","WV","25560","","","","54888213"
"CAMP HILL WESLEY UNITED METHOD","645 WASHINGTON ST","","","HARPERS FERRY","WV","25425","","","","54888214"
"CAMP MINCO"," REESES MILL","","","KEYSER","WV","26726","","","","54888215"
"CAMP SHEPPARD","249 CAMP SHEPPARD LANE","","","GANDEEVILLE","WV","25243","","","","54888216"
"CAMP VIRGIL TATE LODGE"," RT 4 BOX 141 B ","","","CHARLESTON","WV","25313","","","","54888217"
"CANAAN VALLEY FIRE HALL","6563 APPALACHIAN HIGHWAY","","","DAVIS","WV","26260","","","","54888218"
"CANFIELD PAUL DUNN'S HOUSE","7765 HEROLD RD","","","SUTTON","WV","26601","","","","54888219"
"CANVAS RURITAN CLUB BUILDING","17 CANVAS ROAD","","","CANVAS","WV","","","","","54888220"
"CAPON BRIDGE SCHOOL","","","","","","","","","","54888221"
"CAPON BRIDGE SENIOR CENTER","","","","","","","","","","54888222"
"CAPON VALLEY RURITAN CLUB","","","","","","","","","","54888223"
"CAREER CENTER"," RT 7","","","NEW MARTINSVILLE","WV","26155","","","","54888224"
"CARETTA COMMUNITY CENTER","","","","","","","","","","54888225"
"CAROLINA HEAD START"," P O BOX 190","","","CAROLINA","WV","26563","","","","54888226"
"CARROLL TERRACE","1546 KANAWHA BLVD","","","CHARLESTON","WV","25311","","","","54888227"
"CATO PARK","200 BAKER LN","","","CHARLESTON","WV","25302","","","","54888228"
"CAZY/VAN ELEMENTARY","338  Van High School Rd","","","Van","WV","25206","","","","54888229"
"CBC FIRE STATION","108 MCKEES CREEK ROAD","","","SUMMERSVILLE","WV","26651","","","","54888230"
"CEDAR GROVE COMM BLDG","3812 STAUNTON TPK","","","PARKERSBURG","WV","26101","","","","54888231"
"CEDAR GROVE UM CHURCH","168 OLD TURNPIKE RD","","","PARKERSBURG","WV","26101","","","","54888232"
"CEDARVILLE VOLUNTEER FIRE DEPARTMENT","49 LOWER LEVEL RUN","","","CEDARVILLE","WV","26611","","","","54888233"
"CENTER HILL","","","","","","","","","","54888234"
"CENTRAL SCHOOL"," CENTRAL SCHOOL","","","MOUNDSVILLE","WV","26041","","","","54888235"
"CENTRAL UNION COMM. CENTER"," BRUSH COUNTRY ROAD","","","MARLINTON","WV","24954","","","","54888236"
"CENTRAL UNITED METHODIST CHURC","315 FAIRMONT AVE","","","FAIRMONT","","26554","","","","54888237"
"CENTRALIA POPLAR RIDGE CHURCH","874 STONEY CREEK RD","","","SUTTON","WV","26601","","","","54888238"
"CEREDO ELEMENTARY "," CEREDO","","","CEREDO","WV","","","","","54888239"
"CEREDO ELEMENTARY CAFE ","484 MAIN STREET","","","CEREDO","WV","25507","","","","54888240"
"CERES SCHOOL","3716 MAPLE ACRES RD","","","BLUEFIELD","WV","24701","","","","54888241"
"CHANDLER ACADEMY","1900 SCHOOL STREET","","","CHARLESTON","WV","25312","","","","54888242"
"CHAPEL COMMUNITY BUILDING","4077 CHAPEL RD","","","GASSAWAY","WV","26624","","","","54888243"
"CHAPMANVILLE SCHOOL BUS GARAGE"," GARRETT'S FORK ROAD","","","CHAPMANVILLE","WV","","","","","54888244"
"CHARLES TOWN BAPTIST CHURCH","203 E CONGRESS ST","","","CHARLES TOWN","WV","25414","","","","54888245"
"CHARLES TOWN MIDDLE SCHOOL","2518 BERRYVILLE PIKE","","","RIPPON","WV","25441","","","","54888246"
"CHARMCO/GWHS"," PO BOX 325","","","CHARMCO","WV","25958","","","","54888247"
