"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"201 - SINGERS GLEN","0201","70078","","","","91502"
"703 - FORT BUFFALO","0703","70028","","","","91503"
"038 - THIRTY-EIGHT","0038","70123","","","","91504"
"105 - DREWRYS BLUFF","0105","70020","","","","91505"
"215 - ROSA PARKS","0215","70072","","","","91506"
"029 - DOMINION HILLS","0029","70006","","","","91507"
"035 - THIRTY-FIVE","0035","70123","","","","91508"
"302 - SYLVATUS","0302","70018","","","","91509"
"620 - RUSSELL BRANCH","0620","70057","","","","91510"
"201 - PRECINCT 1 - DISTRICT TWO","0201","70108","","","","91511"
"103 - GLENKIRK","0103","70072","","","","91512"
"401 - HARWOODS MILL","0401","70097","","","","91513"
"601 - VILLAGE","0601","70044","","","","91514"
"503 - BELVEDERE","0503","70028","","","","91515"
"428 - PINEWOOD","0428","70028","","","","91516"
"502 - YELLOW BRANCH","0502","70015","","","","91517"
"108 - VICTORY","0108","70072","","","","91518"
"101 - ZION","0101","70054","","","","91519"
"510 - MEHFOUD","0510","70045","","","","91520"
"066 - HUNT","0066","70129","","","","91521"
"012 - PLAZA","0012","70129","","","","91522"
"101 - RECREATION","0101","70099","","","","91523"
"301 - MARKSVILLE","0301","70066","","","","91524"
"020 - EUREKA PARK","0020","70128","","","","91525"
"102 - TIMBERVILLE","0102","70078","","","","91526"
"108 - LEE HALL","0108","70118","","","","91527"
"401 - AMELON","0401","70004","","","","91528"
"402 - PARK VIEW MIDDLE SCHOOL","0402","70035","","","","91529"
"107 - WELLS","0107","70020","","","","91530"
"402 - JACKSON HEIGHTS","0402","70002","","","","91531"
"303 - INNSBROOK","0303","70045","","","","91532"
"003 - SOUTH","0003","70109","","","","91533"
"114 - ONE HUNDRED FOURTEEN","0114","70127","","","","91534"
"214 - LONGDALE","0214","70045","","","","91535"
"603 - GREENWOOD","0603","70033","","","","91536"
"501 - IRON GATE","0501","70002","","","","91537"
"021 - VIRGINIA HIGHLANDS","0021","70006","","","","91538"
"017 - INDIAN CREEK","0017","70100","","","","91539"
"041 - COLLEGE PARK","0041","70129","","","","91540"
"016 - HICKORY GROVE","0016","70100","","","","91541"
"203 - DAYTON","0203","70078","","","","91542"
"305 - DOWNTOWN","0305","70118","","","","91543"
"201 - ROCK HILL","0201","70085","","","","91544"
"301 - PATRICK HENRY NO 1","0301","70054","","","","91545"
"701 - BLAKE","0701","70028","","","","91546"
"303 - BETHESDA UNITED METHODIST CHURCH","0303","70009","","","","91547"
"402 - PRECINCT D-2","0402","70060","","","","91548"
"301 - POWHATAN A","0301","70049","","","","91549"
"008 - CRIGLERSVILLE","0008","70058","","","","91550"
"702 - ONLEY","0702","70000","","","","91551"
"303 - CARDOVA","0303","70023","","","","91552"
"201 - DRAPER","0201","70073","","","","91553"
"407 - LAKEWOOD","0407","70045","","","","91554"
"301 - PORT ROYAL","0301","70016","","","","91555"
"305 - SHOULDERS HILL","0305","70107","","","","91556"
"618 - NEWINGTON","0618","70028","","","","91557"
"401 - FORT CHISWELL","0401","70096","","","","91558"
"703 - JOHN BATTLE","0703","70093","","","","91559"
"102 - DORCHESTER","0102","70095","","","","91560"
"101 - WARD NO 1","0101","70126","","","","91561"
"084 - TALLWOOD","0084","70129","","","","91562"
"810 - CEDAR LANE","0810","70057","","","","91563"
"202 - UNIVERSITY HALL","0202","70001","","","","91564"
"303 - BUFORD","0303","70099","","","","91565"
"102 - MANAKIN","0102","70069","","","","91566"
"601 - BASKERVILLE","0601","70035","","","","91567"
"304 - PRECINCT C-4","0304","70060","","","","91568"
"083 - STRAWBRIDGE","0083","70129","","","","91569"
"505 - DOREY","0505","70045","","","","91570"
"401 - WARD NO 4","0401","70126","","","","91571"
"603 - SOUTH RIDGE","0603","70023","","","","91572"
