"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"GOOCHLAND COMPANY 5 FIREHOUSE","2710 Fairground Rd","","","Goochland","VA","230633103","","6:00 AM - 7:00 PM","","80182"
"LAKE MONTICELLO TERRACE ROOM","41 Ashlawn Blvd","","","Palmyra","VA","229633330","","6:00 AM - 7:00 PM","","80183"
"CHURCHLAND ELEMENTARY SCHOOL","5601 Michael Ln","","","Portsmouth","VA","237033822","","6:00 AM - 7:00 PM","","80184"
"HARMAN ELEM GYM","2323 Bull Creek Rd","","","Grundy","VA","24614","","6:00 AM - 7:00 PM","","80185"
"640 RESCUE SQUAD BUILDING","1604 RICEVILLE ROAD","","","JAVA","VA","24565","","6:00 AM - 7:00 PM","","80186"
"RENAN VOLUNTEER FIRE DEPT","405 STRAIGHTSTONE ROAD","","","GRETNA","VA","24557","","6:00 AM - 7:00 PM","","80187"
"BROSVILLE ELEMENTARY SCHOOL","195 Bulldog Ln","","","Danville","VA","245410865","","6:00 AM - 7:00 PM","","80188"
"First Baptist Church of Woodbridge","13600 Minnieville Road","","","Woodbridge","VA","22193","","6:00 AM - 7:00 PM","","80189"
"KEOKEE ELEM SCHOOL GYM","13638 STATE ROUTE 606","","","KEOKEE","VA","24265","","6:00 AM - 7:00 PM","","80190"
"Buckhall United Methodist Church","10251 Moore Drive","","","Manassas","VA","20111","","6:00 AM - 7:00 PM","","80191"
"Freedom Baptist Church","790 Irisburg Rd","","","Axton","VA","24054","Children's Social Hall","6:00 AM - 7:00 PM","","80192"
"UNION HALL ELEMENTARY SCHOOL","100 Union Hall Elementary Cir","","","Chatham","VA","245315038","","6:00 AM - 7:00 PM","","80193"
"VERNER BLANKENSHIP PARK","7447 LESTERS FORK","","","Grundy","VA","24614","","6:00 AM - 7:00 PM","","80194"
"THIRD BAPTIST CHURCH","461 Godwin St","","","Portsmouth","VA","237043205","","6:00 AM - 7:00 PM","","80195"
"STAFFORD HIGH SCHOOL","33 Stafford Indians Ln","","","Fredericksburg","VA","224055803","","6:00 AM - 7:00 PM","","80196"
"RICH ACRES FIRE STATION","1766 Joseph Martin Hwy","","","Martinsville","VA","241120121","","6:00 AM - 7:00 PM","","80197"
"HERITAGE HUNT CLUBHOUSE","6901 Arthur Hills Dr","","","Gainesville","VA","20155","","6:00 AM - 7:00 PM","","80198"
