"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"401 - BATTLEFIELD","0401","70044","","","","90246"
"702 - SEVEN HUNDRED TWO","0702","70127","","","","90247"
"625 - LORTON CENTER","0625","70028","","","","90248"
"107 - CHICKAHOMINY","0107","70044","","","","90249"
"104 - DURANT CENTER","0104","70098","","","","90250"
"049 - MONROE","0049","70006","","","","90251"
"309 - THREE HUNDRED NINE","0309","70127","","","","90252"
"603 - PIEDMONT","0603","70084","","","","90253"
"032 - OAKRIDGE","0032","70006","","","","90254"
"202 - WILDERNESS FIRE","0202","70084","","","","90255"
"313 - WOOLRIDGE","0313","70020","","","","90256"
"523 - POE","0523","70028","","","","90257"
"312 - LONGFELLOW","0312","70028","","","","90258"
"404 - ASHTON","0404","70072","","","","90259"
"401 - HAYES","0401","70038","","","","90260"
"301 - PRECINCT 3-1","0301","70094","","","","90261"
"101 - LADREY SENIOR BUILDING","0101","70098","","","","90262"
"204 - BLESSED SACRAMENT CHURCH","0204","70098","","","","90263"
"207 - TWO HUNDRED SEVEN","0207","70127","","","","90264"
"001 - STRYKER","0001","70131","","","","90265"
"210 - PENN","0210","70072","","","","90266"
"110 - JOHNSON","0110","70045","","","","90267"
"517 - ROSELAND","0517","70020","","","","90268"
"501 - WEST MATTAPONI","0501","70016","","","","90269"
"619 - BELVOIR","0619","70028","","","","90270"
"415 - CRESTWOOD","0415","70028","","","","90271"
"302 - 3B","0302","70064","","","","90272"
"701 - BATTLEFIELD","0701","70084","","","","90273"
"703 - ROCKVILLE","0703","70044","","","","90274"
"312 - TRIANGLE ","0312","70072","","","","90275"
"602 - LOCUST CREEK","0602","70054","","","","90276"
"401 - DAWN","0401","70016","","","","90277"
"209 - JAMES K POLK SCHOOL","0209","70098","","","","90278"
"814 - EIGHT HUNDRED FOURTEEN","0814","70127","","","","90279"
"207 - TEMPLE BETH EL SYNAGOGUE","0207","70098","","","","90280"
"811 - EIGHT HUNDRED ELEVEN","0811","70127","","","","90281"
"508 - FIVE HUNDRED EIGHT","0508","70127","","","","90282"
"609 - SIX HUNDRED NINE","0609","70127","","","","90283"
"304 - SAMUEL TUCKER SCHOOL","0304","70098","","","","90284"
"105 - LIMESTONE","0105","70072","","","","90285"
"102 - SPARTA","0102","70016","","","","90286"
"509 - PLAZA","0509","70028","","","","90287"
"702 - SOUTH ANNA","0702","70054","","","","90288"
"102 - WALLER MILL","0102","70097","","","","90289"
"101 - PRECINCT 1 - DISTRICT ONE","0101","70108","","","","90290"
"506 - HOLMES","0506","70028","","","","90291"
"208 - NOVA ARTS CENTER","0208","70098","","","","90292"
"616 - GUNSTON","0616","70028","","","","90293"
"204 - ELLIS","0204","70072","","","","90294"
"510 - PARKLAWN","0510","70028","","","","90295"
"302 - WIDEWATER","0302","70085","","","","90296"
"502 - FALMOUTH","0502","70085","","","","90297"
"101 - ONE HUNDRED ONE","0101","70127","","","","90298"
"307 - HENDERSON","0307","70072","","","","90299"
"802 - EIGHT HUNDRED TWO","0802","70127","","","","90300"
"008 - HUME","0008","70006","","","","90301"
"201 - THREE SQUARE","0201","70039","","","","90302"
"409 - FOUR HUNDRED NINE","0409","70127","","","","90303"
"104 - LOIS","0104","70029","","","","90304"
"602 - SIX HUNDRED TWO","0602","70127","","","","90305"
"517 - WILLSTON","0517","70028","","","","90306"
"423 - CLERMONT","0423","70028","","","","90307"
"504 - FIVE HUNDRED FOUR","0504","70127","","","","90308"
"301 - THREE WEST","0301","70065","","","","90309"
"301 - THREE HUNDRED ONE","0301","70127","","","","90310"
"405 - GROVETON","0405","70028","","","","90311"
"204 - JAMESTOWN D","0204","70049","","","","90312"
"705 - GRAHAM - GREENWAY","0705","70028","","","","90313"
"604 - SIX HUNDRED FOUR","0604","70127","","","","90314"
"102 - MECHANICSVILLE","0102","70054","","","","90315"
"501 - PRECINCT 5-1","0501","70053","","","","90316"
"601 - FERRY FARM","0601","70085","","","","90317"
"108 - GEORGE WASHINGTON MIDDLE SCH","0108","70098","","","","90318"
"202 - BLUNTS","0202","70044","","","","90319"
"510 - FIVE HUNDRED TEN","0510","70127","","","","90320"
"401 - MANQUIN","0401","70052","","","","90321"
"315 - PIMMIT","0315","70028","","","","90322"
"206 - COLES","0206","70072","","","","90323"
"401 - 4A","0401","70064","","","","90324"
"213 - HUNGARY","0213","70045","","","","90325"
"429 - HYBLA VALLEY","0429","70028","","","","90326"
"401 - AQUIA","0401","70085","","","","90327"
"503 - DREW","0503","70085","","","","90328"
"103 - PEASLEY","0103","70038","","","","90329"
"602 - LAKE","0602","70016","","","","90330"
"501 - JEFFERSONTON","0501","70023","","","","90331"
"101 - BERKELEY A","0101","70049","","","","90332"
"105 - LEE CENTER","0105","70098","","","","90333"
"603 - WHITE OAK","0603","70085","","","","90334"
"403 - STONEHOUSE C","0403","70049","","","","90335"
"117 - WESTWOOD","0117","70045","","","","90336"
"309 - ASHLAND ","0309","70072","","","","90337"
"102 - PRECINCT 1-2","0102","70094","","","","90338"
"703 - HAMPTON","0703","70085","","","","90339"
"301 - SOUTH","0301","70027","","","","90340"
"412 - PINCHBECK","0412","70045","","","","90341"
"501 - GRAFTON","0501","70085","","","","90342"
"204 - TWO HUNDRED FOUR","0204","70127","","","","90343"
"401 - PRECINCT 4-1","0401","70094","","","","90344"
"502 - BROKENBURG","0502","70084","","","","90345"
"201 - LOUISA #1","0201","70054","","","","90346"
"106 - KERSEY CREEK","0106","70044","","","","90347"
"708 - MARSHALL","0708","70028","","","","90348"
"405 - PEBBLE CREEK","0405","70044","","","","90349"
"401 - PROVIDENCE FORGE","0401","70062","","","","90350"
"024 - WOODLAWN","0024","70006","","","","90351"
"501 - LAKE RIDGE","0501","70072","","","","90352"
"301 - SEAFORD","0301","70097","","","","90353"
"623 - ALBAN","0623","70028","","","","90354"
"403 - COLD HARBOR","0403","70044","","","","90355"
"305 - COOL SPRING","0305","70044","","","","90356"
"302 - WOODFORD","0302","70016","","","","90357"
"201 - BEAVERDAM","0201","70044","","","","90358"
"501 - FREDERICKS HALL","0501","70054","","","","90359"
"301 - CLAY","0301","70044","","","","90360"
"101 - PARTLOW","0101","70084","","","","90361"
"022 - ABINGDON","0022","70006","","","","90362"
"004 - BALLSTON","0004","70006","","","","90363"
"035 - MADISON","0035","70006","","","","90364"
"017 - OVERLEE KNOLLS","0017","70006","","","","90365"
"001 - CHESAPEAKE","0001","70034","","","","90366"
"111 - BRISTOW RUN","0111","70072","","","","90367"
"101 - HARTWOOD","0101","70085","","","","90368"
"515 - DAVIS","0515","70020","","","","90369"
"401 - FOUR WEST","0401","70065","","","","90370"
"301 - PLANK ROAD","0301","70084","","","","90371"
"615 - WOODLEY","0615","70028","","","","90372"
"301 - PRECINCT 1 - DISTRICT THREE","0301","70108","","","","90373"
"048 - COURTLANDS","0048","70006","","","","90374"
"103 - SIMPSON","0103","70085","","","","90375"
"202 - TWO EAST","0202","70065","","","","90376"
"509 - MC COART","0509","70072","","","","90377"
"309 - SKINQUARTER","0309","70020","","","","90378"
"211 - PALMER","0211","70118","","","","90379"
"203 - WILMINGTON PARISH","0203","70044","","","","90380"
"508 - BELGRADE","0508","70020","","","","90381"
"405 - LA PRADE","0405","70020","","","","90382"
"703 - FORT BUFFALO","0703","70028","","","","90383"
"029 - DOMINION HILLS","0029","70006","","","","90384"
"201 - PRECINCT 1 - DISTRICT TWO","0201","70108","","","","90385"
"103 - GLENKIRK","0103","70072","","","","90386"
"401 - HARWOODS MILL","0401","70097","","","","90387"
"601 - VILLAGE","0601","70044","","","","90388"
"428 - PINEWOOD","0428","70028","","","","90389"
"108 - VICTORY","0108","70072","","","","90390"
"101 - ZION","0101","70054","","","","90391"
"303 - INNSBROOK","0303","70045","","","","90392"
"114 - ONE HUNDRED FOURTEEN","0114","70127","","","","90393"
"214 - LONGDALE","0214","70045","","","","90394"
"021 - VIRGINIA HIGHLANDS","0021","70006","","","","90395"
"201 - ROCK HILL","0201","70085","","","","90396"
"301 - PATRICK HENRY NO 1","0301","70054","","","","90397"
"301 - POWHATAN A","0301","70049","","","","90398"
"303 - CARDOVA","0303","70023","","","","90399"
"407 - LAKEWOOD","0407","70045","","","","90400"
"301 - PORT ROYAL","0301","70016","","","","90401"
"603 - SOUTH RIDGE","0603","70023","","","","90402"
"702 - WHITSON","0702","70085","","","","90403"
"401 - SHILOH","0401","70051","","","","90404"
"527 - EDSALL","0527","70028","","","","90405"
"310 - SHADY GROVE","0310","70045","","","","90406"
"419 - LANE","0419","70028","","","","90407"
"502 - CRESTWOOD","0502","70020","","","","90408"
"401 - SUMMIT","0401","70084","","","","90409"
"601 - BUMPASS","0601","70054","","","","90410"
"309 - SADLER","0309","70045","","","","90411"
"902 - NINE HUNDRED TWO","0902","70127","","","","90412"
"411 - SWIFT CREEK","0411","70020","","","","90413"
"317 - WESTHAMPTON","0317","70028","","","","90414"
"314 - THREE CHOPT","0314","70045","","","","90415"
"503 - ELK CREEK","0503","70054","","","","90416"
"111 - ONE HUNDRED ELEVEN","0111","70127","","","","90417"
"504 - COURTHOUSE","0504","70084","","","","90418"
"706 - SEVEN HUNDRED SIX","0706","70127","","","","90419"
"408 - REAMS","0408","70020","","","","90420"
"606 - HOLLIN HALL","0606","70028","","","","90421"
"207 - CHAMBERLAYNE","0207","70045","","","","90422"
"202 - JAMESTOWN B","0202","70049","","","","90423"
"051 - TAYLOR","0051","70006","","","","90424"
"204 - STEFANIGA","0204","70085","","","","90425"
"308 - THREE HUNDRED EIGHT","0308","70127","","","","90426"
"036 - MARSHALL","0036","70006","","","","90427"
"201 - WILDERNESS SCHOOL","0201","70084","","","","90428"
"301 - WHITE MARSH","0301","70038","","","","90429"
"307 - THREE HUNDRED SEVEN","0307","70127","","","","90430"
"203 - RUBY","0203","70085","","","","90431"
"101 - FIFE","0101","70039","","","","90432"
"401 - BYRD","0401","70045","","","","90433"
"038 - ARLINGTON VIEW","0038","70006","","","","90434"
"114 - MONUMENT HILLS","0114","70045","","","","90435"
"201 - PRECINCT 2-1","0201","70053","","","","90436"
"613 - WESTGATE","0613","70028","","","","90437"
"201 - CLARKS","0201","70050","","","","90438"
"033 - ROCK SPRING","0033","70006","","","","90439"
"608 - KIRKSIDE","0608","70028","","","","90440"
"611 - STRATFORD","0611","70028","","","","90441"
"710 - PINE SPRING","0710","70028","","","","90442"
"703 - LIGNUM","0703","70023","","","","90443"
"501 - PRECINCT 5-1","0501","70094","","","","90444"
"102 - BERKELEY B","0102","70049","","","","90445"
"402 - FOUR HUNDRED TWO","0402","70127","","","","90446"
"201 - MONROE","0201","70051","","","","90447"
"207 - SPRIGGS","0207","70072","","","","90448"
"027 - JEFFERSON","0027","70006","","","","90449"
"705 - SEVEN HUNDRED FIVE","0705","70127","","","","90450"
"209 - WEST HANOVER","0209","70044","","","","90451"
"101 - OWENTON","0101","70050","","","","90452"
"102 - ONE EAST","0102","70065","","","","90453"
"407 - MONACAN","0407","70020","","","","90454"
"301 - PRECINCT 3-1","0301","70053","","","","90455"
"103 - LYLES CROUCH SCHOOL","0103","70098","","","","90456"
"106 - ONE HUNDRED SIX","0106","70127","","","","90457"
"046 - CENTRAL","0046","70006","","","","90458"
"702 - BRANDY STATION","0702","70023","","","","90459"
"610 - SHERWOOD","0610","70028","","","","90460"
"110 - GREENWOOD","0110","70118","","","","90461"
"012 - FAIRLINGTON","0012","70006","","","","90462"
"909 - NINE HUNDRED NINE","0909","70127","","","","90463"
"301 - MORRISVILLE","0301","70029","","","","90464"
"202 - BOTETOURT","0202","70038","","","","90465"
"302 - EGGBORNSVILLE","0302","70023","","","","90466"
"315 - TUCKER","0315","70045","","","","90467"
"701 - FARRINGTON","0701","70044","","","","90468"
