"ballot_id","candidate_id","sort_order"
"164","10940",""
"268","10942",""
"168","10564",""
"307","10938",""
"140","10107",""
"5","10967",""
"409","10942",""
"139","10071",""
"29","10938",""
"80","10940",""
"28","10941",""
"86","10937",""
"28","10162",""
"178","10940",""
"139","10466",""
"47","10937",""
"99","10940",""
"219","10232",""
"35","10942",""
"33","10838",""
"25","10027",""
"298","10937",""
"175","10445",""
"246","10422",""
"50","10056",""
"228","10938",""
"218","10940",""
"48","10408",""
"66","10482",""
"278","10942",""
"9","10783",""
"14","10352",""
"71","10286",""
"74","10565",""
"145","10938",""
"204","10967",""
"196","10394",""
"108","10938",""
"327","10939",""
"1","10940",""
"226","10932",""
"395","10012",""
"412","10587",""
"388","10938",""
"295","10506",""
"410","10047",""
"426","10941",""
"320","10967",""
"84","10188",""
"370","10426",""
"330","10942",""
"46","10967",""
"53","10503",""
"306","10390",""
"227","10941",""
"276","10942",""
"241","10967",""
"65","10941",""
"324","10967",""
"346","10414",""
"306","10941",""
"197","10942",""
"162","10967",""
"13","10355",""
"98","10214",""
"403","10967",""
"163","10342",""
"180","10445",""
"415","10460",""
"386","10938",""
"118","10942",""
"125","10022",""
"283","10967",""
"326","10407",""
"348","10939",""
"347","10942",""
"357","10942",""
"18","10863",""
"105","10941",""
"143","10941",""
"162","10941",""
"146","10752",""
"248","10939",""
"305","10939",""
"233","10747",""
"376","10942",""
"390","10227",""
"89","10275",""
"91","10277",""
"229","10776",""
"417","10941",""
"425","10967",""
"65","10103",""
"110","10875",""
"286","10939",""
"120","10940",""
"76","10648",""
"343","10629",""
"263","10938",""
"92","10120",""
"304","10942",""
"71","10367",""
"152","10000",""
"224","10121",""
"346","10967",""
"212","10424",""
"2","10674",""
"115","10134",""
"231","10477",""
"165","10956",""
"296","10468",""
"150","10939",""
"226","10939",""
"332","10940",""
"14","10967",""
"75","10938",""
"114","10353",""
"64","10941",""
"184","10941",""
"407","10233",""
"132","10548",""
"350","10937",""
"418","10938",""
"49","10056",""
"201","10431",""
"223","10938",""
"129","10939",""
"95","10937",""
"106","10938",""
"144","10938",""
"308","10942",""
"304","10486",""
"411","10011",""
"208","10939",""
"110","10431",""
"174","10937",""
"185","10938",""
"377","10939",""
"21","10866",""
"335","10938",""
"47","10220",""
"50","10939",""
"23","10940",""
"411","10940",""
"421","10940",""
"49","10942",""
"298","10942",""
"93","10967",""
"129","10234",""
"26","10941",""
"387","10942",""
"352","10967",""
"125","10015",""
"36","10937",""
"252","10967",""
"128","10234",""
"113","10940",""
"154","10942",""
"211","10942",""
"188","10854",""
"238","10707",""
"358","10424",""
"128","10939",""
"202","10967",""
"19","10271",""
"112","10907",""
"343","10819",""
"271","10937",""
"61","10252",""
"299","10942",""
"18","10896",""
"349","10940",""
"4","10941",""
"48","10059",""
"76","10755",""
"227","10580",""
"328","10233",""
"355","10937",""
"147","10939",""
"354","10940",""
"146","10942",""
"31","10810",""
"75","10225",""
"82","10645",""
"16","10937",""
"276","10937",""
"225","10942",""
"212","10939",""
"28","10967",""
"120","10750",""
"187","10857",""
"106","10843",""
"421","10330",""
"242","10938",""
"387","10930",""
"11","10674",""
"153","10000",""
"214","10652",""
"267","10937",""
"131","10273",""
"276","10315",""
"300","10370",""
"70","10373",""
"331","10052",""
"331","10416",""
"402","10322",""
"122","10937",""
"158","10938",""
"207","10939",""
"275","10940",""
"324","10941",""
"262","10967",""
"301","10435",""
"406","10233",""
"247","10153",""
"390","10272",""
"351","10937",""
"7","10941",""
"241","10941",""
"62","10705",""
"60","10305",""
"29","10786",""
"195","10454",""
