"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"NEW LIFE BAPTIST CHURCH","NEW LIFE BAPTIST CHURCH
385 N OLD CANTON RD","","","MADISON","MS","39110","","","","1313181"
"RIDGELAND RECREATION CENTER","P O BOX 217","","","RIDGELAND","MS","39158","","","","1313183"
"RIDGELAND RECREATION CENTER","RIDGELAND RECREATION CENTER
127 TRACE PARK","","","RIDGELAND","MS","39157","","","","1313183"
"GRACE CROSSING","598 YANDELL RD","","","CANTON","MS","39046","","","","1313188"
"GRACE CROSSING","P O BOX 973","","","CANTON","MS","39046","","","","1313188"
"FIRST PRESBYTERIAN CHURCH OF MADISON","FIRST PRESBYTERIAN CHURCH             7717 OLD CANTON RD","","","MADISON","MS","39110","","","","1313198"
"VICTORY CHRISTIAN COMMUNITY CHURCH","7417 OLD CANTON RD","","","MADISON","MS","39110","","","","1313200"
"VICTORY CHRISTIAN COMMUNITY CHURCH","P O BOX 2684","","","MADISON","MS","39130","","","","1313200"
"TWIN LAKES BAPTIST CHURCH","673 LAKE CAVALIER ROAD","","","MADISON","MS","39110","","","","1313207"
"TWIN LAKES BAPTIST CHURCH","TWIN LAKES BAPTIST CHURCH
673 LAKE CAVALIER ROAD","","","MADISON","MS","39110","","","","1313207"
"COLONIAL HEIGHTS BAPTIST CHURCH","444 NORTHPARK DR","","","RIDGELAND","MS","39157","","","","1313209"
"COLONIAL HEIGHTS BAPTIST CHURCH","444 NORTHPARK DR","","","RIDGELAND","MS","39158","","","","1313209"
"TOUGALOO","TOUGALOO COLLEGE
C/O STUDENT AFFAIRS
500 W COUNTY LINE RD","","","TOUGALOO","MS","39174","","","","1313212"
"TOUGALOO","TOUGALOO COLLEGE 
HEALTH & WELLNESS CENTER ROOM 212
500 W COUNTY LINE RD","","","TOUGALOO","MS","39174","","","","1313212"
"BEAR CREEK","FELLOWSHIP BIBLE CHURCH
2270 HIGHWAY 51","","","CANTON","MS","39046","","","","1313223"
"BEAR CREEK","FELLOWSHIP BIBLE CHURCH
2270 HWY 51","","","CANTON","MS","39046","","","","1313223"
"FEARNS CHAPEL FREEWILL BAPTIST CHURCH","615 POCAHONTAS ROAD
","","","FLORA","MS","39071","","","","1313235"
"FEARNS CHAPEL FREEWILL BAPTIST CHURCH","FEARNS CHAPEL FREEWILL BAPTIST CHURCH
615 POCAHONTAS ROAD","","","FLORA","MS","39071","","","","1313235"
"CANTON FIRE STATION #4","CANTON FIRE STATION #4
188 WATFORD PARKWAY DRIVE","","","CANTON","MS","39046","","","","1313247"
"CAMDEN COMMUNITY CENTER","CAMDEN COMMUNITY CENTER  122 PARKSIDE AVENUE","","","CAMDEN","MS","39045","","","","1313250"
"CEDAR GROVE BAPTIST","998 HIGHWAY 43 SOUTH","","","CANTON","MS","39046","","","","1313259"
"HS MULTIPURPOSE BLDG","235 N MEMPHIS ST","","","HOLLY SPRING","MS","38635","","","","1313281"
"HS MULTIPURPOSE BLDG","235 N MEMPHIS ST","","","HOLLY SPRINGS","MS","38635","","","","1313281"
"RED BANKS FIRE STATION","1348 S RED BANKS RD","","","RED BANKS","MS","38661","","","","1313282"
"HOLLY SPRINGS FIRE STATION","127 W FALCONER AVE","","","HOLLY SPRINGS","MS","38635","","","","1313283"
"VOTE BLDG/AMERICAN MOTEL  HWY 72","40 JONATHAN DR","","","BYHALIA","MS","38611","","","","1313284"
"EARLY GROVE VOTING BLDG","20 EARLY GROVE RD","","","LAMAR","MS","38642","","","","1313285"
"HUDSONVILLE VOTE BLDG","4235 HUDSONVILLE RD","","","HOLLY SPRINGS","MS","38635","","","","1313286"
"MT PLEASANT HEADSTART","1439 BOSWELL RD","","","HOLLY SPRINGS","MS","38635","","","","1313287"
"ICS HEADSTART CENTRAL OFFICE","160 W VALLEY AVE","","","HOLLY SPRINGS","MS","38635","","","","1313288"
"SLAYDEN VOTING BLDG","172 N SLAYDEN RD","","","LAMAR","MS","38642","","","","1313289"
"BARTON FIRE STATION","5135 HWY 302","","","OLIVE BRANCH","MS","38654","","","","1313290"
"BYHALIA FIRE STATION #1","24 HWY 309 N","","","BYHALIA","MS","38611","","","","1313291"
"CAYCE FIRE STATION","30 LEE CREEK RD","","","BYHALIA","MS","38611","","","","1313292"
"CHULAHOMA COMMUNITY CENTER","5797 HWY 4 W","","","HOLLY SPRINGS","MS","38635","","","","1313293"
"LAWS HILL COMMUNITY CENTER","3451 LAWS HILL RD","","","WATERFORD","MS","38685","","","","1313294"
"MARIANNA VOTING BUILDING","4789 MARIANNA RD","","","HOLLY SPRINGS","MS","38635","","","","1313295"
"VICTORIA COMMUNITY CENTER","77 VICTORIA RD","","","BYHALIA","MS","38611","","","","1313296"
"ST PAUL CHURCH ACTIVITY CENTER","1393 HWY 309 S","","","BYHALIA","MS","38635","","","","1313297"
"WATSON  COMMUNITY CENTER","3766 HWY 309 S","","","BYHALIA","MS","38611","","","","1313298"
"WALL HILL VOTING BUILDING","2104 MT. SINAI RD","","","BYHALIA","MS","38611","","","","1313299"
"BETHLEHEM FIRE STATION","2233 BROWNLEE RD","","","POTTS CAMP","MS","38659","","","","1313300"
"CORNERSVILLE METHODIST CHURCH","21 CORNERSVILLE RD","","","POTTS CAMP","MS","38659","","","","1313301"
"POTTS CAMP TOWN HALL","17 S CENTER ST","","","POTTS CAMP","MS","38659","","","","1313302"
"NATIONAL GUARD ARMORY","720 HWY 4 E","","","HOLLY SPRINGS","MS","38635","","","","1313303"
"WATERFORD COMMUNITY CENTER","45 WATERFORD ST","","","WATERFORD","MS","38685","","","","1313304"
"ROBINSONVILLE COMMUNITY CENTER","5274 KIRBY ROAD","","","ROBINSONVILLE","MS","38664","","","","1313334"
"DUNDEE COMUNITY CENTER","9140 DUNDEE ROAD","","","DUNDEE","MS","38626","","","","1313335"
"HAMBRICK COMMUNITY CENTER","1275 HAMBRICK ROAD","","","ROBINSONVILLE","MS","38664","","","","1313336"
"VERNER RD. PARK","VERNER RD. /NEXT TO VERNER RD. PARK
","","","TUNICA","MS","38676","","","","1313337"
"R. C. IRWIN LIBRARY","R. C. IRWIN LIBRARY 1285 KENNY HILL AVE.","","","TUNICA","MS","38676","","","","1313338"
"TUNICA AUDITORIUM","1552 SEARS AVENUE","","","TUNICA","MS","38676","","","","1313339"
"MHOON LANDING","1338 FOX ISLAND ROAD","","","TUNICA","MS","38676","","","","1313340"
"NEW SUB PARK","TEMPORARY BUILDING/1765 BEATLINE RD.","","","TUNICA","MS","38676","","","","1313341"
"WHITE OAK REC. CENTER","110 WHITE OAK RD.","","","TUNICA","MS","38676","","","","1313342"
"WIN JOB CENTER","1054 S. FITZGERALD BLVD.","","","ROBINSONVILLE","MS","38664","","","","1313343"
"TUNICA ELEMENTARY CAMPUS","744 SCHOOL ST.","","","TUNICA","MS","38676","","","","1313344"
"AUSTIN PARK","TEMPORARY BUILDING 1335 AUSTIN RD.","","","TUNICA","MS","38676","","","","1313345"
"BURNSVILLE @ CHAMBER BLDG","322 HWY 72","","","BURNSVILLE","MS","38833","","","","1313346"
"BELMONT @ AMERICAN LEGION BLDG","17 VALLEY ROAD","","","BELMONT","MS","38827","","","","1313347"
"BELMONT @ AMERICAN LEGION BLDG","17 VALLEY ROAD","","","BELMONT","MS","38852","","","","1313347"
"COLES MILL @ N XRDS  FIRE DEPT","200 CR 333","","","IUKA","MS","38852","","","","1313348"
"COTTON SPRINGS @ MT ZION","596 HWY 4","","","DENNIS","MS","38838","","","","1313349"
"DENNIS @ HOMEMAKER'S BLDG","1 CR 46","","","DENNIS","MS","38838","","","","1313350"
"E IUKA @ NATIONAL GUARD ARMORY","901 E QUITMAN ST","","","IUKA","MS","38852","","","","1313352"
"GOLDEN @ GOLDEN CITY HALL","211 FRONT ST","","","GOLDEN","MS","38847","","","","1313353"
"HUBBARD SALEM @ TRI-STATE COMMERCE PARK/BUILDING 1000","751 CR 989","","","IUKA","MS","38852","","","","1313354"
"SPRINGHILL @ OLD MIDWAY SCHOOL","473 HWY 364","","","IUKA","MS","38852","","","","1313356"
"N BURNSVILLE @ COMM CENTER","70  MUNICIPAL PARK ROAD","","","BURNSVILLE","MS","38833","","","","1313357"
"N BURNSVILLE @ COMM CENTER","70 MUNICIPAL PARK ROAD","","","BURNSVILLE","MS","38833","","","","1313357"
"NORTH BELMONT @ BLUE SPRS PARK","1 SUMMER ST","","","BELMONT","MS","38827","","","","1313358"
"IUKA @ TCEPA METERING DEPT (OLD CHEVROLET PLACE)","104 CONSTITUTION DRIVE","","","IUKA","MS","38852","","","","1313359"
"PADEN @ COMMUNITY CENTER","1 LENNON AVE","","","TISHOMINGO","MS","38873","","","","1313360"
"TISHOMINGO @ TISHOMINGO COMMUNITY CENTER","1267 MAIN ST","","","TISHOMINGO","MS","38873","","","","1313361"
"TISHOMINGO @ TISHOMINGO COMMUNITY CENTER","1267 MAIN STREET","","","TISHOMINGO","MS","38873","","","","1313361"
